,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
0,Derrick Henry ,TEN,RB,28,10,10,2,2,4,1,0,230,1010,4.39,10,23,18,199,11.06,0,1,0,10,N/A,N/A,185,203.1,209.1,194.1,99,1,1,2022
1,Nick Chubb,CLE,RB,27,9,9,0,0,0,0,0,160,904,5.65,11,19,13,88,6.77,0,1,1,11,1,N/A,165,178.2,182.2,171.7,80,2,2,2022
2,Patrick Mahomes,KAN,QB,27,9,9,245,366,2936,25,7,34,215,6.32,1,0,0,0,N/A,0,3,0,1,1,1,235,234.9,247.9,241.9,76,1,3,2022
3,Josh Allen,BUF,QB,26,9,9,220,341,2733,20,10,68,476,7.00,4,0,0,0,N/A,0,8,3,4,N/A,N/A,235,234.9,253.9,244.9,76,2,4,2022
4,Travis Kelce,KAN,TE,33,9,9,0,0,0,0,0,2,5,2.50,0,84,63,740,11.75,8,0,0,8,1,N/A,125,187.5,190.5,156.0,74,1,5,2022
5,Tyreek Hill,MIA,WR,28,10,10,0,0,0,0,0,5,25,5.00,0,106,81,1148,14.17,4,1,0,4,N/A,N/A,141,222.3,225.3,181.8,70,1,6,2022
6,Stefon Diggs,BUF,WR,29,9,9,0,0,0,0,0,0,0,N/A,0,99,72,985,13.68,7,1,0,7,N/A,N/A,141,212.5,215.5,176.5,70,2,7,2022
7,Justin Jefferson,MIN,WR,23,9,9,1,1,23,0,0,2,13,6.50,1,100,69,1060,15.36,4,0,0,5,1,N/A,140,209.2,212.2,174.7,69,3,8,2022
8,Saquon Barkley,NYG,RB,25,9,9,0,0,0,0,0,198,931,4.70,6,36,29,197,6.79,0,1,0,6,1,N/A,151,179.8,185.8,165.3,66,3,9,2022
9,Austin Ekeler,LAC,RB,27,9,9,0,0,0,0,0,104,451,4.34,6,81,67,420,6.27,4,3,1,10,N/A,N/A,145,212.1,219.1,178.6,61,4,10,2022
10,Josh Jacobs,LVR,RB,24,9,9,0,0,0,0,0,159,821,5.16,7,37,31,200,6.45,0,1,0,7,N/A,N/A,144,175.1,181.1,159.6,60,5,11,2022
11,Jalen Hurts,PHI,QB,24,9,9,180,265,2217,14,3,94,354,3.77,7,0,0,0,N/A,0,5,1,7,1,N/A,216,216.1,226.1,219.1,58,3,12,2022
12,Cooper Kupp,LAR,WR,29,9,9,0,1,0,0,0,9,52,5.78,1,98,75,812,10.83,6,2,1,7,N/A,N/A,126,201.4,205.4,163.9,56,4,13,2022
13,Davante Adams,LVR,WR,30,9,9,0,0,0,0,0,3,-1,-0.33,0,99,57,784,13.75,8,1,0,8,N/A,N/A,126,183.3,186.3,154.8,56,5,14,2022
14,Jaylen Waddle,MIA,WR,24,10,10,0,0,0,0,0,2,17,8.50,0,75,51,878,17.22,6,1,1,6,N/A,N/A,124,174.5,178.5,149.0,54,6,15,2022
15,Christian McCaffrey,2TM,RB,26,9,8,1,1,34,1,0,125,563,4.50,4,60,47,395,8.40,2,1,0,6,N/A,N/A,137,184.2,190.2,160.7,53,6,16,2022
16,Joe Mixon,CIN,RB,26,9,9,0,0,0,0,0,151,585,3.87,6,50,38,272,7.16,2,0,0,8,N/A,N/A,134,171.7,177.7,152.7,50,7,17,2022
17,Aaron Jones,GNB,RB,28,11,11,0,0,0,0,0,143,778,5.44,2,49,40,248,6.20,3,3,1,5,1,N/A,133,172.6,179.6,152.6,49,8,18,2022
18,Justin Fields,CHI,QB,23,10,10,122,207,1489,12,7,104,749,7.20,6,0,0,0,N/A,0,12,1,6,N/A,1,204,204.5,218.5,211.5,47,4,19,2022
19,Dalvin Cook,MIN,RB,27,9,9,0,0,0,0,0,145,727,5.01,6,33,22,146,6.64,1,1,1,7,N/A,N/A,127,149.3,156.3,138.3,44,9,20,2022
20,Joe Burrow,CIN,QB,26,9,9,233,333,2535,18,6,35,141,4.03,4,0,0,0,N/A,0,4,2,4,N/A,2,200,199.5,213.5,205.5,42,5,21,2022
21,Christian Kirk,JAX,WR,26,10,10,0,1,0,0,0,3,12,4.00,0,82,52,679,13.06,7,1,1,7,N/A,N/A,109,161.1,165.1,135.1,40,7,22,2022
22,A.J. Brown,PHI,WR,25,9,8,0,0,0,0,0,0,0,N/A,0,73,44,725,16.48,6,0,0,6,N/A,N/A,109,152.5,155.5,130.5,40,8,23,2022
23,Lamar Jackson,BAL,QB,25,9,9,160,257,1768,16,6,86,635,7.38,2,0,0,0,N/A,0,4,1,2,N/A,N/A,196,196.2,209.2,202.2,39,6,24,2022
24,Jamaal Williams,DET,RB,27,9,5,0,0,0,0,0,142,604,4.25,9,12,9,57,6.33,0,2,1,9,1,N/A,120,129.1,133.1,124.6,37,10,25,2022
25,Travis Etienne,JAX,RB,23,10,5,0,0,0,0,0,131,725,5.53,4,31,22,202,9.18,0,3,1,4,1,N/A,117,138.7,145.7,127.7,34,11,26,2022
26,CeeDee Lamb,DAL,WR,23,9,9,0,0,0,0,0,5,12,2.40,0,88,53,706,13.32,5,0,0,5,N/A,N/A,102,154.8,157.8,128.3,33,9,27,2022
27,Rhamondre Stevenson,NWE,RB,24,9,3,0,0,0,0,0,129,618,4.79,4,43,35,227,6.49,1,0,0,5,N/A,N/A,115,149.5,155.5,132.0,32,12,28,2022
28,Taysom Hill,NOR,TE,32,9,4,7,10,101,1,0,43,344,8.00,5,5,3,16,5.33,1,1,0,6,N/A,N/A,80,83.0,86.0,81.5,32,2,29,2022
29,Mark Andrews,BAL,TE,27,8,8,0,0,0,0,0,2,7,3.50,0,64,42,488,11.62,5,0,0,5,N/A,N/A,80,121.5,124.5,100.5,31,3,30,2022
30,Dameon Pierce,HOU,RB,22,9,9,0,0,0,0,0,165,772,4.68,3,27,22,126,5.73,1,3,1,4,N/A,N/A,112,133.8,140.8,122.8,30,13,31,2022
31,Leonard Fournette,TAM,RB,27,10,9,0,1,0,0,1,135,462,3.42,3,50,43,315,7.33,3,0,0,6,N/A,N/A,112,154.7,161.7,134.2,29,14,32,2022
32,Tony Pollard,DAL,RB,25,9,3,0,0,0,0,0,103,621,6.03,6,25,15,134,8.93,0,0,0,6,N/A,N/A,112,126.5,132.5,119.0,29,15,33,2022
33,Miles Sanders,PHI,RB,25,9,8,0,0,0,0,0,143,710,4.97,6,14,11,42,3.82,0,0,0,6,N/A,N/A,111,122.2,125.2,116.7,29,16,34,2022
34,Kenneth Walker III,SEA,RB,22,9,5,0,0,0,0,0,121,587,4.85,7,24,18,103,5.72,0,0,0,7,N/A,N/A,111,129.0,135.0,120.0,29,17,35,2022
35,Ja'Marr Chase,CIN,WR,22,7,7,0,0,0,0,0,4,2,0.50,0,74,47,605,12.87,6,1,1,6,N/A,N/A,95,141.7,145.7,118.2,27,10,36,2022
36,Geno Smith,SEA,QB,32,10,10,230,316,2474,17,4,45,218,4.84,1,0,0,0,N/A,0,4,2,1,N/A,N/A,183,182.8,194.8,186.8,27,7,37,2022
37,T.J. Hockenson,2TM,TE,25,9,9,0,0,0,0,0,0,0,N/A,0,62,42,510,12.14,3,0,0,3,1,N/A,71,113.0,116.0,92.0,23,4,38,2022
38,Dallas Goedert,PHI,TE,27,9,9,0,0,0,0,0,0,0,N/A,0,53,43,544,12.65,3,1,1,3,N/A,N/A,70,113.4,117.4,91.9,23,5,39,2022
39,Tyler Lockett,SEA,WR,30,10,10,0,0,0,0,0,0,0,N/A,0,71,54,640,11.85,5,2,2,5,N/A,N/A,90,144.0,149.0,117.0,22,11,40,2022
